"gender","SeniorCitizen","Partner","Dependents","tenure","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","MonthlyCharges","TotalCharges","Churn"
"Female",0,"Yes","Yes",69,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)",113.25,7895.15,"No"
"Female",0,"No","No",21,"Yes","No","Fiber optic","No","Yes","Yes","No","No","Yes","Month-to-month","Yes","Electronic check",90.05,1862.9,"No"
"Male",0,"No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",20.15,20.15,"Yes"
"Male",0,"Yes","Yes",1,"No","No phone service","DSL","No","Yes","No","No","No","No","Month-to-month","No","Electronic check",30.2,30.2,"Yes"
"Male",1,"Yes","No",2,"Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",95.5,181.65,"No"
"Female",0,"Yes","Yes",27,"Yes","No","DSL","Yes","Yes","Yes","Yes","No","No","One year","No","Mailed check",66.15,1874.45,"No"
"Male",0,"No","No",34,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",106.35,3549.25,"Yes"
"Female",0,"Yes","Yes",70,"Yes","Yes","DSL","Yes","Yes","No","No","Yes","No","Two year","Yes","Credit card (automatic)",69.2,4872.35,"No"
"Female",0,"Yes","No",13,"Yes","Yes","DSL","Yes","Yes","No","Yes","Yes","No","Month-to-month","Yes","Electronic check",76.2,981.45,"No"
"Female",1,"Yes","No",25,"Yes","Yes","DSL","Yes","No","No","Yes","Yes","No","Month-to-month","Yes","Credit card (automatic)",69.5,1752.65,"No"
"Male",1,"Yes","Yes",66,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","One year","Yes","Electronic check",108.45,7076.35,"No"
"Female",0,"No","No",72,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",107.5,7853.7,"No"
"Female",0,"No","No",9,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","No","Electronic check",94.4,857.25,"Yes"
"Male",0,"No","No",1,"Yes","No","DSL","No","No","No","Yes","No","No","Month-to-month","No","Mailed check",49.05,49.05,"No"
